CANAL;SI;CA_SERVICE;VC_SKY;VC_TVRO;TIPO
PADRE CICERO HD;5026;59,999;886;;PACOTE
PARAMOUNT+;1545;59,60,102,139,154,316,901;840;;PACOTE
PLAY TV;5255;59,60,111,139,152,373;161;;PACOTE
PLAYBOY TV;1415;58,69;272;;PACOTE
PLAYBOY TV HD;1803;58,69;273;;PACOTE
PLAYTV+ HD;5002;59,999;899;;PACOTE
PREMIERE;2505;59,153,782;233;;PACOTE
PREMIERE HD;5022;59,248,249,300,301;633;;PACOTE
PRIME BOX BRAZIL;2444;59,108,551;157;;PACOTE
RADIO BAND FM;1148;59,60,137,138,224,309,310,316,362,999;794;;RADIO
RADIO BAND NEWS;1150;59,60,137,138,224,309,310,316,362,999;793;;RADIO
RADIO BANDEIRANTES;1149;59,60,137,138,224,309,310,316,362,999;795;;RADIO
RADIO BH FM;1348;59,60,137,138,224,309,310,316,362;782;;RADIO
RADIO CBN;1347;59,60,137,138,224,309,310,316,362;776;;RADIO
RADIO CBN BH;2804;59,60,138,224,309,310,316,362;779;;RADIO
RADIO CBN BSB;2806;59,60,138,224,309,310,316,362;778;;RADIO
RADIO CBN RJ;2802;59,60,138,224,309,310,316,362;777;;RADIO
RADIO CLUBE FM;2517;59,60,138,224,309,310,316,362,999;792;;RADIO
RADIO EVANGELIZAR MAIS;1629;59,60,137,138,224,309,310,316,362,999;798;;RADIO
RADIO EVANGELIZAR POP;1462;59,60,138,224,309,310,316,362,999;797;;RADIO
RADIO GAUCHA;1923;59,60,137,138,224,309,310,316,362;785;;RADIO
RADIO GLOBO RJ;1349;59,60,137,138,224,309,310,316,362;787;;RADIO
RADIO ITATIAIA AM/FM;1917;59,60,137,138,224,309,310,316,362,999;789;;RADIO
RADIO JOVEM PAN FM;1634;59,60,137,138,224,309,310,316,362,999;784;;RADIO
RADIO JOVEM PAN NEWS;1924;59,60,137,138,224,309,310,316,362,999;783;;RADIO
RADIO NATIVA;1160;59,60,137,138,224,309,310,316,362,999;796;;RADIO
RADIO NERY FM;1423;59,60,137,138,224,309,310,316,362,999;791;;RADIO
RADIO RFI;1615;59,60,137,138,224,309,310,316,362,999;786;;RADIO
RADIO VERDES MARES;2518;59,60,138,224,309,310,316,362,999;790;;RADIO
RAI;1504;59,84,135,909;182;;PACOTE
RBI;2402;59,102,176,310,316,362,999;20;;PACOTE
RBTV;2513;59,102,310,316,362,999;32;;PACOTE
RECORD BAHIA;5499;59,61,101,102,104,310,316,362,652,785;7;;CANAL ABERTO
RECORD BAHIA HD;5049;48,59,61,161,236,243,489,613,615,652;407;;CANAL ABERTO
RECORD HD;5046;47,48,59,161,236,243,489,613,615,647;407;;CANAL ABERTO
RECORD NEWS;1632;59,102,178,310,316,362;19;;PACOTE
RECORD NEWS HD;1907;47,48,59,161,236,436,489,613,999;419;;PACOTE
RECORD TV;2811;59,61,101,102,104,310,316,362,647,785;7;;CANAL ABERTO
RECORD TV BELEM HD;5464;59,61,433;407;;CANAL ABERTO
RECORD TV BRASILIA;5253;59,61,101,102,104,310,316,362,650,785;7;;CANAL ABERTO
RECORD TV BRASILIA HD;5461;47,48,59,161,236,243,489,613,615,650,999;407;;CANAL ABERTO
RECORD TV CURITIBA HD;5462;59,61,431,635;407;;CANAL ABERTO
RECORD TV FLORIANOPOLIS HD;5463;59,61,430,690;407;;CANAL ABERTO
RECORD TV FORTALEZA HD;5466;59,61,429,637;407;;CANAL ABERTO
RECORD TV GOIAS HD;5465;59,61,432,692;407;;CANAL ABERTO
RECORD TV MINAS;5256;59,61,101,102,104,310,316,362,651,785;7;;CANAL ABERTO
RECORD TV MINAS HD;5305;47,48,59,161,236,243,489,613,615,651;407;;CANAL ABERTO
RECORD TV RIO;5139;59,61,101,102,104,310,316,362,648,785;7;;CANAL ABERTO
RECORD TV RIO HD;5383;47,48,59,161,236,243,489,613,615,648;407;;CANAL ABERTO
RECORD TV RS;2819;59,61,101,102,104,310,316,362,649,785;7;;CANAL ABERTO
RECORD TV RS HD;5385;47,48,59,161,236,243,489,613,615,649;407;;CANAL ABERTO
