Canal;SI;CA_Service
SKY 237 ;1516;59,153,782
SKY 238 ;2414;59,153,782
SKY 239 ;1307;59,153,782
SKY 240 ;1515;59,153,782
SKY 620 HD ;5166;59,405,412
SKY 621 HD ;5009;59,405,412
SKY 622 HD ;5207;59,405,412
SKY 628 HD ;5162;59,405,412
SKY 634 HD  ;1710;59,248,249,300,301
SKY 635 HD ;1805;59,248,249,300,301
SKY 636 HD ;6102;59,248,249,300,301
SKY 637 HD ;6408;59,248,249,300,301
SKY 638 HD ;6404;59,248,249,300,301
SKY 639 HD ;6112;59,248,249,300,301
SKY 640 HD ;6406;59,248,249,300,301
SKY 850 POS SD ;2910;59,102
SKY 851 PRE SD ;2114;59,310,316
SKY NEWS HD ;5441;59,161,455
SKY PRE PAGO LIVRE ;2438;59,60,102,139,154,310,316,901
SKY PRE PAGO LIVRE ;2439;59,60,102,139,154,310,316,901
SKY PRE PAGO LIVRE ;2440;59,60,102,139,154,310,316,901
SKY RADIOS ;9057;59,60,102,139,154,310,316,901
SOFT HITS ;1143;59,137,224
SONY CHANNEL ;2214;41,59,117,901
SONY CHANNEL HD ;5208;48,59,161,460
SONY MOVIES ;5493;59,98,107,901
SONY MOVIES HD ;5423;47,59,161,436,459
SPACE ;2911;59,109,530,902
SPACE HD ;5361;48,59,161,465
SPORTV ;1318;59,82,93,442
SPORTV HD ;5562;48,59,161,442,477
SPORTV2 ;1317;59,90,93
SPORTV2 HD ;1902;48,59,161,477,478
SPORTV3 ;1501;59,82,93,442
SPORTV3 HD ;1903;47,59,161,237,442
SPORTYNET ;2502;59,82,93
SPORTYNET HD ;5421;48,59,161,477
STUDIO UNIVERSAL ;2814;59,155,901
STUDIO UNIVERSAL HD ;5204;47,48,59,161,242,243,436,442,451
TC ACTION ;2907;59,102,127,210,316,1179
TC ACTION HD ;5014;59,102,162,316
TC CULT ;2610;59,102,127,213,316,1179
TC CULT HD ;5323;59,102,162,316,486
TC FUN ;2808;59,102,127,316,552
TC FUN HD ;5101;59,102,162,316
TC PIPOCA ;2905;59,102,127,212,316,1179
TC PIPOCA HD ;5102;59,102,162,316
TC PREMIUM ;2612;59,102,127,209,316,1179
TC PREMIUM HD ;5008;59,102,162,316
TC TOUCH ;2115;59,102,127,211,316,552,1179
TC TOUCH HD ;5408;59,102,162,316,483
TELETEMA ;1362;59,137,224
TERRA VIVA ;2432;59,60,75,102,139,154,310,316,362
TERRA VIVA HD ;1909;47,48,59,161,236,436,489,613,999
TESTE DIP 999 ;3193;47,59,161,442,480
TESTE DIP1 997 ;3191;59,102,127,316,552
TESTE DIP2 998 ;3192;59,113,121,924
TLC ;2133;40,59,96,902
TLC HD ;5163;59,161,467,588
TNT ;2809;59,103,372,901
TNT HD ;5048;48,59,161,466
TNT NOVELAS ;1511;59,130,901
TNT NOVELAS HD ;6107;47,48,59,161,242,243,451
TNT SERIES ;2812;59,113,121,924
TNT SERIES HD ;5205;48,59,161,451,452
TRAVEL BOX BRAZIL ;2514;59,111,143,158
TRAVEL BOX BRAZIL HD ;5342;59,83,129,161,467,471,576,611
TRILHA SONORA ;1142;59,137,224
TV APARECIDA ;2216;59,102,177,310,316,362,999
TV APARECIDA HD ;1911;47,48,59,161,236,489,613,999
TV ARTES ;2614;59,77,102,203,316,362,999
TV BRASIL ;1402;36,59,102,146,310,316,362,999
TV CAMARA ;1508;43,59,80,102,310,316,362,912,999
TV CAMARA DISTRITAL ;1403;59,102,310,316,362
TV CENTRO SUL CEARA ;5043;59,999
TV CIDADANIA ;1643;59,102,161,310,316
TV COMUNITARIA ;2801;59,102,310,316,362,496,912
TV CULTURA  ;1611;59,77,102,203,310,316,362,901,999
TV CULTURA HD ;1704;47,48,59,161,236,489,613,999
TV DIARIO FORTALEZA ;5184;59,999
TV ESPANHA ;1616;59,86,135,909
TV EVANGELIZAR HD ;1906;47,48,59,161,236,489,613,999
TV FELIZ HD ;5090;59,999
TV GAZETA HD ;5442;47,48,59,161,236,489,613,999
TV HORIZONTE ;5186;59,999
TV IMACULADA HD ;5023;59,999
TV INFINITO ;6412;59,999
TV JUSTICA ;2112;44,59,102,310,316,362,999
TV MILAGRO HD ;5590;47,48,59,161,236,436,489,613,999
TV NOVO TEMPO ;5489;59,74,102,310,316,362,442
TV NOVO TEMPO HD ;5523;47,48,59,161,236,436,489,613,999
TV PAI ETERNO ;2204;59,77,102,310,316,362,999
TV PARANA TURISMO ;1314;59,999
TV SENADO ;2201;59,102,310,316,362,421,912,999
TV VERDADE HD ;5170;59,999
TV5 MONDE ;1311;59,87,134,135,902,909
ULTRAFARMA ;5286;59,999
UNIVERSAL TV ;2209;59,118,208,901
UNIVERSAL TV HD ;5324;47,59,161,442,480
UNIVESP TV ;5495;59,77,102,203,310,316,362,999
USA ;2109;59,553,924
USA HD ;5582;47,59,161,243,256
VIVAX TV ;5284;59,999
WARNER CHANNEL ;1077;59,117,205,901
WARNER HD ;5203;48,59,161,457
WOOHOO ESPORTES ;5446;59,999
XSPORTS ;2515;43,59,80,102,310,316,362,912,999
XSPORTS HD ;5328;47,48,59,161,236,489,613,999
